id,offer_id,event_id,gender,age,income,reward,difficulty,reg_month
0,0,3,2.0,75,100000.0,10.0,10.0,5
0,3,3,2.0,75,100000.0,5.0,5.0,5
0,7,2,2.0,75,100000.0,0.0,0.0,5
0,8,3,2.0,75,100000.0,5.0,5.0,5
1,2,2,,118,,0.0,0.0,8
1,4,2,,118,,5.0,20.0,8
1,7,0,,118,,0.0,0.0,8
2,2,0,1.0,68,70000.0,0.0,0.0,4
2,3,3,1.0,68,70000.0,5.0,5.0,4
2,6,3,1.0,68,70000.0,2.0,10.0,4
2,9,2,1.0,68,70000.0,2.0,10.0,4
3,1,1,,118,,10.0,10.0,9
3,2,1,,118,,0.0,0.0,9
3,6,1,,118,,2.0,10.0,9
3,9,1,,118,,2.0,10.0,9
4,0,0,,118,,10.0,10.0,10
4,1,2,,118,,10.0,10.0,10
4,3,2,,118,,5.0,5.0,10
4,5,2,,118,,3.0,7.0,10
4,9,2,,118,,2.0,10.0,10
5,3,3,1.0,65,53000.0,5.0,5.0,2
5,6,3,1.0,65,53000.0,2.0,10.0,2
5,8,3,1.0,65,53000.0,5.0,5.0,2
5,9,3,1.0,65,53000.0,2.0,10.0,2
6,0,3,,118,,10.0,10.0,8
6,5,2,,118,,3.0,7.0,8
7,2,0,1.0,58,51000.0,0.0,0.0,11
7,5,2,1.0,58,51000.0,3.0,7.0,11
7,6,3,1.0,58,51000.0,2.0,10.0,11
8,0,3,2.0,61,57000.0,10.0,10.0,9
8,1,3,2.0,61,57000.0,10.0,10.0,9
8,4,2,2.0,61,57000.0,5.0,20.0,9
8,7,2,2.0,61,57000.0,0.0,0.0,9
8,8,3,2.0,61,57000.0,5.0,5.0,9
9,4,2,2.0,62,71000.0,5.0,20.0,2
9,5,3,2.0,62,71000.0,3.0,7.0,2
9,6,3,2.0,62,71000.0,2.0,10.0,2
10,0,2,,118,,10.0,10.0,8
10,1,2,,118,,10.0,10.0,8
10,4,2,,118,,5.0,20.0,8
10,5,2,,118,,3.0,7.0,8
10,7,2,,118,,0.0,0.0,8
11,4,2,,118,,5.0,20.0,1
11,8,2,,118,,5.0,5.0,1
11,9,2,,118,,2.0,10.0,1
12,0,3,1.0,64,100000.0,10.0,10.0,9
12,2,2,1.0,64,100000.0,0.0,0.0,9
12,4,3,1.0,64,100000.0,5.0,20.0,9
13,1,2,2.0,78,71000.0,10.0,10.0,6
13,2,2,2.0,78,71000.0,0.0,0.0,6
13,6,3,2.0,78,71000.0,2.0,10.0,6
13,7,2,2.0,78,71000.0,0.0,0.0,6
14,4,3,2.0,88,53000.0,5.0,20.0,5
14,7,0,2.0,88,53000.0,0.0,0.0,5
